Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OV118644,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2021-12-05,B.1.617.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29860,partial,,,,Germany:Europe/Germany/Bavaria,Germany,,Homo sapiens,,2021-11-03,SAMEA10824457,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU240715,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2021-06-25,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29879,partial,,,,Germany:Europe/Germany/Saxony,Germany,,Homo sapiens,,2021-05-14,SAMEA9200845,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV153267,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7497766,"Berkshire, Surrey Pathology Services Lighthouse,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-12-10,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29887,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-11-14,SAMEA11392241,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OW341651,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR9431572,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-03-31,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-03-18,SAMEA13786489,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OP274189,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR21155283,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-08-22,BA.2.12.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CO-CDPHE-2103421457,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29750,complete,,,,USA,USA,,Homo sapiens,,2022-06-15,SAMN30431655,PRJNA686984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2103421457/2022, complete genome"
OK486702,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16300594,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2021-10-13,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,UT-UPHL-211008140207,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29793,complete,,,,USA: Utah,USA,UT,Homo sapiens,,2021-09-01,SAMN22225587,PRJNA614995,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-211008140207/2021, complete genome"
LR898755,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Nadeau,S.","ETH ZURICH D-BSSE, Mattenstrasse 26",Switzerland,2020-11-03,B.1.416.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,310444,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,partial,,,,Switzerland:Zurich,Switzerland,,Homo sapiens,,2020,SAMEA7502320,PRJEB38472,"Severe acute respiratory syndrome coronavirus 2 isolate 310444 genome assembly, chromosome: 1"
OQ918004,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR29129354,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2023-05-02,BA.1.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,WA-PHL-017891,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29453,partial,,,,"USA: Washington, Douglas County",USA,WA,Homo sapiens,oronasopharynx,2022-02-23,SAMN34543994,PRJNA749781,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-PHL-017891/2022 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OD954266,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR5280067,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-05-01,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29884,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-01-25,SAMEA8019579,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OQ888756,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR24332777,"Incekara,K., Nguyen,T., Pearson,C.L., Perera,N.V.","CT Public Health Laboratory submission group, Katherine A. Kelley State Public Health Laboratory",USA,2023-04-28,XBB.1.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CT-DPH-1140159001,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29649,partial,,,,USA,USA,,Homo sapiens,,2023-02-11,SAMN34417745,PRJNA777596,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CT-DPH-1140159001/2023 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OV483719,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7762594,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-01-14,AY.4.2.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-12-07,SAMEA11959960,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OQ258999,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR23131996,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2023-01-17,XBB.1.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,NJ-CDC-LC0984982,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29723,partial,,,,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,2023-01-06,SAMN32760837,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-LC0984982/2023 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OL983856,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Blankenship,H.M., Riner,D., Soehnlen,M.","Michigan Department of Health and Human Services, Bureau of Laboratories",USA,2021-12-22,AY.103,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,MI-MDHHS-SC35500,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29813,partial,,,,USA: Michigan,USA,MI,Homo sapiens,swab,2021-10-04,,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MI-MDHHS-SC35500/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OP552973,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR21760646,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-09-29,BA.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,MD-CDC-LC0888656,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29720,complete,,,,USA: Maryland,USA,MD,Homo sapiens,oronasopharynx,2022-09-18,SAMN31082123,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD-CDC-LC0888656/2022, complete genome"
OW066620,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR8994096,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-03-09,BA.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,2022-02-14,SAMEA13219285,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
ON214324,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR18721869,"Smith,E.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2022-04-12,BA.2.2.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CA-CDPH-500049893,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29763,complete,,,,USA,USA,,Homo sapiens,,2022-01-24,SAMN27526510,PRJNA750736,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-500049893/2022, complete genome"
OV021744,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7268818,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-11-23,AY.43,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-10-25,SAMEA10910894,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OY787257,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Borgmester Ib Juuls Vej 52, 5. etage, 2730 Herlev",Denmark,2023-11-18,XBB.1.16,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,Denmark,Denmark,,Homo sapiens,,2023-08-07,SAMEA114635100,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OK409452,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16062289,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-10-07,AY.3.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,AL-CDC-ASC210173214,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29687,partial,,,,USA: Alabama,USA,AL,Homo sapiens,oronasopharynx,2021-08-25,SAMN21611892,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AL-CDC-ASC210173214/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OK390347,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16159425,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-10-06,AY.100,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,TN-CDC-ASC210082235,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29817,partial,,,,USA: Tennessee,USA,TN,Homo sapiens,oronasopharynx,2021-09-10,SAMN21979894,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-ASC210082235/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
MW795987,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR14033345,"Gallagher,T., Young,E.L., Oakeson,K.F.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2021-03-23,B.1.526,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,UT-UPHL-2103723687,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29894,complete,,,,USA,USA,,Homo sapiens,,2021-01-26,SAMN18422462,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-2103723687/2021, complete genome"
OU914567,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7170068,"Integrated Covid Hub North,East., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-11-01,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29887,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-10-09,SAMEA10459068,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OU350952,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR6138806,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-07-06,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-06-18,SAMEA9286720,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
MZ028733,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR15951438,"Sheth,M., Nobles,S., Padilla,J., Burroughs,M., Le,S., Dillon,K., Cook,P., Paden,C.R., Batra,D., Queen,K., Knipe,K., Howard,D., Unoarumhi,Y., Wagner,D., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Halpin,A.L., Wentworth,D., Dugan,V., Tong,S., Lee,J.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,2021-04-26,B.1.570,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CO-CDC-2-4194872,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29867,complete,,,,USA: CO,USA,CO,Homo sapiens,oronasopharynx,2020-12-17,SAMN21492175,PRJNA689853,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDC-2-4194872/2020, complete genome"
OM941693,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR20360477,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-03-08,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,WV-CDC-LC0552288,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29686,complete,,,,USA: West Virginia,USA,WV,Homo sapiens,oronasopharynx,2022-02-21,SAMN26517781,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WV-CDC-LC0552288/2022, complete genome"
OK122483,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR15799371,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-09-14,B.1.617.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,FL-CDC-LC0123606,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29436,partial,,,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2021-07-24,SAMN21349612,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-LC0123606/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds"
ON669695,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Jelley,L., Douglas,J., Ren,X., Winter,D., McNeil,A., Huang,S., French,N., Welch,D., Hadfield,J., deLigt,J., Geohagen,J., Cokerton,S., Gebbie,C., Patel,D., Rachel,B., SallyAnn,H., Olivia,S., Storey,M., Freed,N., Faisal,M., Wang,J., Perez,H., Werno,A., van der Linden,A., Upton,A., Mansell,C., Hammer,D., Drinkovic,D., McAuliffe,G., Sofia,H., Roberts,S., Morpeth,S., Taylor,S., Blackmore,T., Stahyendran,V., Playle,V., Hope,V., Smit,E., Jelly,L.","Institute of Environmental Science and Research, Health & Environment",New Zealand,2022-06-06,AY.39.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,21CH0555,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29717,partial,,,,New Zealand,New Zealand,,Homo sapiens,,2021-11-07,,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/21CH0555/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), and envelope protein (E) genes, complete cds; membrane glycoprotein (M) and ORF7b (ORF7b) genes, partial cds; ORF8 protein (ORF8) and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 gene, complete sequence"
FR999581,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR4436820,"Meredith,L.W., Torok,E., Hosmillo,M., Hamilton,W.L., Curran,M.D., Feltwell,T., Hall,G., Yakovleva,A., Khokhar,F.A., Houldcroft,C.J., Caller,L.G., Jahun,A.S., Caddy,S.L., Goodfellow,I., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-04-12,B.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29782,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2020-04-09,SAMEA7171927,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
